Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ZW=F,559.25,2020-02-07,14:19 EST,3,557,563,553.25,59004,,,,,,,
YUMC,42.735,2020-02-07,15:29 EST,-0.99499893,43.04,43.16,42.5,2913420,,,,,,,
XOM,61.555,2020-02-07,15:29 EST,-0.32500076,61.41,61.655,61.06,10738037,,,,,,,
WFC,47.9,2020-02-07,15:29 EST,-0.07999802,47.73,47.96,47.475,9284606,,,,,,,
W,99.295,2020-02-07,15:28 EST,-1.0149994,99.57,100.81,98.55,726201,,,,,,,
VET,14.285,2020-02-07,15:28 EST,-0.26500034,14.39,14.43,14.16,1001939,,,,,,,
V,202.7,2020-02-07,15:29 EST,-0.33999634,201.98,203.83,201.09,4547789,,,,,,,
UGAZ,45.08,2020-02-07,15:29 EST,-0.62999725,47.5,48.29,44.77,3665087,,,,,,,
DX=F,98.58,2020-02-07,15:08 EST,0.19900513,98.335,98.59,98.3,12951,,,,,,,
T,38.495,2020-02-07,15:29 EST,0.055000305,38.45,38.72,38.36,15985269,,,,,,,
S,4.915,2020-02-07,15:29 EST,0.20499992,4.73,4.98,4.69,12414776,,,,,,,
R,50.095,2020-02-07,15:29 EST,-0.24499893,50.06,50.23,49.275,254360,,,,,,,
QTRH.TO,2,2020-02-07,15:04 EST,-0.01999998,2.02,2.02,1.99,46419,,,,,,,
PFE,38.085,2020-02-07,15:29 EST,-0.17499924,38.36,38.4,37.93,16249880,,,,,,,
ECA.TO,4.96,2020-01-24,16:00 EST,-0.23000002,5.18,5.19,4.86,16046109,,,,,,,
NREF,18.92,2020-02-07,15:28 EST,18.92,19,19.15,18.7,1060658,,,,,,,
M,16.445,2020-02-07,15:29 EST,-0.50500107,16.84,16.8919,16.4,6341375,,,,,,,
L,53.49,2020-02-07,15:28 EST,0.1800003,53.08,53.55,52.8338,365835,,,,,,,
K,64.2592,2020-02-07,15:29 EST,0.79920197,63.26,64.27,62.38,3503479,,,,,,,
JPM,137.43,2020-02-07,15:29 EST,-0.18000793,136.73,137.64,136.35,4248008,,,,,,,
IMO.TO,31.12,2020-02-07,15:13 EST,-0.6499996,31.5,31.53,31.01,564666,,,,,,,
H,88.32,2020-02-07,15:28 EST,-0.6500015,88.23,88.78,87.62,386500,,,,,,,
GE=F,98.45,2020-02-07,15:15 EST,0.04499817,98.41,98.46,98.4,354571,,,,,,,
D,84.8599,2020-02-07,15:29 EST,-0.4100952,85.44,85.6251,84.8194,1107566,,,,,,,
HGT=F,5,2020-02-07,12:58 EST,0,0,5,0,3831,,,,,,,
AW=F,74.7,2020-02-07,14:20 EST,-0.20000458,74.7,74.7,74.7,41,,,,,,,
PEP,145.49,2020-02-07,15:29 EST,1.1600037,144.26,145.51,143.89,1771814,,,,,,,
F,8.12,2020-02-07,15:29 EST,-0.13000011,8.21,8.21,8.02,82315914,,,,,,,
FCAU,13.225,2020-02-07,15:29 EST,-0.45499992,13.28,13.3999,13.2,2452487,,,,,,,
GM,33.58,2020-02-07,15:29 EST,-0.75,34.08,34.16,33.43,10456495,,,,,,,
TD,56.915,2020-02-07,15:29 EST,-0.01499939,56.77,57.09,56.65,629842,,,,,,,
GOLD,18.245,2020-02-07,15:29 EST,-0.10499954,18.45,18.56,18.08,7182914,,,,,,,
AMZN,2072.66,2020-02-07,15:29 EST,22.429932,2041.99,2098.53,2038.189,4325769,,,,,,,
CL=F,50.45,2020-02-07,15:19 EST,-0.5,51.11,51.48,50.09,692748,,,,,,,
TSLA,741.81,2020-02-07,15:29 EST,-7.1500244,730.55,769.75,730.01,15042411,,,,,,,
DOW,47.839,2020-02-07,15:29 EST,-1.3610001,48.54,48.525,47.46,2749974,,,,,,,
